                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.97613,                0.85289,                0.91764,                0.54754,                0.47594,                0.41307,                0.23693,                 1.2408,                 1.0568,                0.98876,             0.00023118,             0.00023118,             0.00023118
                     36,                0.96962,                0.83855,                0.91331,                0.38979,                0.54537,                0.39929,                0.23414,                  1.243,                 1.0892,                0.97631,             0.00021798,             0.00021798,             0.00021798
                     37,                0.96539,                0.83442,                0.91482,                0.51861,                0.55344,                0.40974,                0.23187,                 1.2334,                 1.0888,                0.97774,             0.00020477,             0.00020477,             0.00020477
                     38,                0.93825,                0.81752,                 0.9067,                0.59835,                0.48799,                0.43639,                0.25083,                 1.1958,                 1.0415,                0.96494,             0.00019156,             0.00019156,             0.00019156
                     39,                0.97686,                 0.8404,                0.91703,                0.61148,                0.41434,                0.42963,                0.25176,                 1.2067,                 1.0044,                0.96745,             0.00017836,             0.00017836,             0.00017836
                     40,                 0.9549,                0.82052,                0.90676,                0.59274,                0.41419,                0.42296,                0.24484,                 1.1776,                0.98663,                0.95971,             0.00016515,             0.00016515,             0.00016515
                     41,                0.91913,                 0.8079,                0.91045,                0.43206,                0.48951,                0.39611,                0.22924,                  1.193,                 1.1091,                0.96709,             0.00015194,             0.00015194,             0.00015194
                     42,                0.91187,                0.79998,                0.90827,                0.56957,                0.42801,                 0.3975,                0.23004,                 1.1678,                 1.0105,                0.95454,             0.00013874,             0.00013874,             0.00013874
                     43,                0.91784,                0.78819,                0.90611,                0.60175,                0.41337,                0.40454,                 0.2324,                 1.1887,                0.99657,                0.96438,             0.00012553,             0.00012553,             0.00012553
                     44,                0.90591,                 0.7769,                0.90668,                0.43016,                0.55607,                0.40451,                0.22643,                 1.1886,                 1.1313,                0.96237,             0.00011232,             0.00011232,             0.00011232
                     45,                0.90284,                0.79267,                0.90757,                0.55872,                0.44454,                0.39636,                0.23241,                 1.1793,                 1.0247,                0.96133,             9.9116e-05,             9.9116e-05,             9.9116e-05
                     46,                0.88938,                 0.7656,                 0.8999,                0.56964,                0.40843,                0.40062,                0.23291,                 1.1914,                 1.0266,                0.96524,              8.591e-05,              8.591e-05,              8.591e-05
                     47,                 0.8848,                 0.7634,                0.90297,                0.59402,                0.39377,                0.39718,                0.23389,                 1.1792,                0.99891,                0.96227,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     48,                0.89062,                0.74703,                0.90446,                 0.5678,                0.41229,                0.39516,                0.23389,                  1.161,                0.99739,                0.96083,             5.9496e-05,             5.9496e-05,             5.9496e-05
                     49,                0.88579,                0.75022,                 0.8979,                0.57825,                0.41916,                0.40101,                0.23899,                 1.1868,                 1.0182,                0.96744,              4.629e-05,              4.629e-05,              4.629e-05
                     50,                0.87845,                0.74288,                 0.8973,                0.58459,                0.42473,                0.39884,                0.23175,                 1.1637,                0.99172,                0.96112,             3.3083e-05,             3.3083e-05,             3.3083e-05
